Лужа не сохнет по несколько дней||Лужа|не сохнет|дней  
Асфальт на ступенях городской лестницы нуждается в ремонте||Асфальт|нуждается|ремонте  
Покупая овощи в палатке по адресу Кетчерская 4А я обратил внимание что в палатке много грязи у возникают сомнения по поводу соблюдения санитарных норм||Кетчерская|обратил|внимание  
Мойка по прежнему не функционирует должным образом||Мойка|не функционирует|образом  
На этом месте Управа раздаёт питьевую воду жителям улицы||Управа|раздаёт|воду  
Мусор валяется вдоль дороги и на прилегающем к дороге участке||Мусор|валяется|дороги  
Собаки растаскивают мусор по всей улице||Собаки|растаскивают|мусор  
Весь склон в парке перед домом по адресу Твардовского д18 корп 2 завален различным мусором||2|завален|мусором  
Бесплатная парковка за гаражным комплексом по адресу Твардовского 8 корп 4 захламлена бытовым мусором||4|захламлена|мусором  
Управа и полиция не реагируют на жалобы жителей||Управа|не реагируют|жалобы  жителей
Ни ЦОД ни префектура не принимают никаких действий для его эвакуации||ЦОД|не принимают|действий  эвакуации
Сколько потеряла Москва от тогочто место латное занято и не оплачено уже более 700 часов||Москва|потеряла|того  
Мусор на своих местах немного увеличился в количестве||Мусор|увеличился|количестве  
Возле парка территория напротив дома 1 по ул Чоботовская захламлена мусором||Чоботовская|захламлена|мусором  
Мусор рядом с водоемом||Мусор|рядом|водоемом  
Мусор не убирается уже брльше 2 месяцев ||Мусор|не убирается|месяцев  
Мусор не убирается на данной территории с августа 2014 года ||Мусор|не убирается|территории  
nНо туалетная кабинка от них осталась на прежнем месте||\\nНо|осталась|месте  
Её видно и в ответе на обращениеnСейчас она открыта и в свободном доступе захламлена и оставлена в антисанитарном состоянииnПрошу разобраться и удалить туалетную кабинку||\\n|открыта|доступе  
ОИВ 01072014 г признало её наличие и пообещало демонтировать незаконную рекламу в частности  рекламные баннеры||ОИВ|признало|наличие  
В результате 10092014 г ОИВ отчиталось об устранении проблемы однако фактически баннеры демонтированы так и не были||ОИВ|отчиталось|устранении  проблемы
Указанная территория расположена в непосредственной близости от выхода метро тем не менее именно установленный в 25метровой зоне мусорный бункер способствует захламлению территории поскольку завалы мусора  вокруг бункера по мнению сотрудников органов исполнительной власти в частности сотрудник префектуры Киров СС считает такую антисанитарию нормальным явлением и сопутствующей неизбежностьюnФото сделаны 5 августа в 16 часов||\\nФото|сделаны|часов  
Торговля с машины ведется без разрешительных документов||Торговля|ведется|документов  
Повреждение уличной лестницы ул Планерная д 7К1 устраните проблему||7К1|устраните|проблему  
Авто стоит не по правилам парковки затрудняя другим парковаться||Авто|стоит|правилам  парковки
Мусор лежит уже 2 месяца его никто не убирает||Мусор|лежит|месяца  
Дворники не работают в принципе||Дворники|не работают|принципе  
Урны переполнены и вечером 10 декабря и утром 11 декабря||Урны|переполнены|вечером  
Мусор убран из кадра но не с территории||Мусор|убран|кадра  
Мусор валяется не только по вечерам но и днем||Мусор|валяется|вечерам  
Мусор валяется на тротуаре и газонах||Мусор|валяется|тротуаре  
Хлам на месте  и проблема носит постоянный характер||Хлам|носит|характер  
Весна район утопает в зелени и цветущих деревьях а мы вынуждены дышать помойкой||Весна|утопает|зелени  
Сваренное подвергается коррозии как и остальная часть не приварены листы ступенек||Сваренное|подвергается|коррозии  
nnКак видно на фотографии ступеньки сформированы из цемента который уже после первого зимнего сезона существенно разрушилсяnnПерила также небезопасны для использования особенно пожилыми людьми и детьми||\\n\\nПерила|небезопасны|использования  людьми
Навалы строительного и бытового мусора ждут уборки||Навалы|ждут|уборки  
Или РЖД имеет привилегированное положение и может организовывать свалки в тч бытовых отходов где пожелают||РЖД|имеет|положение  
Более того  вечером 271117 приезжали грузовики и так же выгружали мусорnИнформация о ликвидации свалки ЛОЖНАЯ||ЛОЖНАЯ|выгружали|мусор.\\nИнформация  ликвидации
Теретория где проводят забор воды муниципальные службы похожа на помойку и болото это ужасно||Теретория|проводят|забор  воды
Немедленно запретите завоз мусора на данную территориюnЖители ближайших домов в ужасе готовы жаловаться в полицию и прокуратуру||\\nЖители|запретите|завоз  мусора
Территория огорожена установлен КПП со шлагбаумом и взимается плата за стоянку||КПП|установлен|шлагбаумом  
Размещённые объявления с просьбой не складировать мусор около подъезда не имеют явного действия Мусор появляется в одном и том же месте  с завидной регулярностью  ||Мусор|появляется|месте  регулярностью
Стоянка около здания по ул Сибиряковская 5 превращена в помойку||Сибиряковская|превращена|помойку  
Магазин увешал своей рекламой прилегающую территорию||Магазин|увешал|рекламой  
Дворники без стеснения выносят мусор туда||Дворники|выносят|мусор  
Авто занимает место прошу убрать||Авто|занимает|место  
Плитка уложена с множественными дефектами например см фото||Плитка|уложена|дефектами  
На улице матросова за возведенными шумозащитными экранами  сваливает я строительный мусор и бытовой мусорnТерритория находится в ужасном состоянии||Территория|находится|состоянии  
ЗдравствуйтеЛестница в плохом состоянии асфальт местами отсутствует||Лестница|Здравствуйте|состоянии  
Реклама выкупа вернулась на архитектурную порчу района ||Реклама|вернулась|порчу  района
Плитка которую положили возле нашего дома оказалась либо очень низкого качества либо укладывалась с нарушением технологии это привело к тому что целыми остались всего 4 плитки из 16||Плитка|оказалась|качества  
Шины являются токсичным материалом требующим вывоз и утилизации||Шины|являются|материалом  
Перила покрашены старой краской которая свернулась и выцвела перед покраской не выполнены работы по зачистке перил от старой облупившейся краски это очень хорошо видно на фотографиях||Перила|покрашены|краской  
Плитки отваливаются от стен по всему периметру домаnПожалуйста приведите в порядок территорию||Плитки|отваливаются|стен  периметру
Газель стоит без движения 15 года спущены колеса занимает место||Газель|стоит|движения 1,5 года
Уважаемая Управа уже около 7 месяцев занимает брошенный автомобиль  занимает паковочное место||Управа|занимает|место  
Преступники в очередной раз строительным мусором захламили общественную парковку||Преступники|захламили|парковку  
Трактор перевозит мусор с места на место||Трактор|перевозит|мусор  
271016 в 1400  территория не убранаnСвалка скапливается каждые 2 дня мусор не выбрасывается в контейнерыnПрошу принять меры по устранению свалки в дальнейшем||\\nСвалка|скапливается|дня  
Мусор вываливается на проезжую часть||Мусор|вываливается|часть  
Уборка не производится многие месяцыповсюду разбросан строительный мусор и огромные кучи земли с выносом на придворовую территорию и внутридомовые проезды||Уборка|не производится|месяцы  
Лестница идущая от жилых домов к остановке находится в плачевном состоянии||Лестница|находится|состоянии  
Не убираются Урны уже месяц салюты с нового года лежат||Урны|убираются|месяц  
Лестница чинилась уже несколько раз половина сгнила||Лестница|чинилась|раз  
Авто стоит у гаражей||Авто|стоит|гаражей  
Авто стоит возле гаражей||Авто|стоит|гаражей  
Жулики разбросали строительный мусор на тротуар и проезжую часть просьба убрать а виновных по видео камерам наказать||Жулики|разбросали|мусор  
Авто стоит напротив въезда на автостоянку||Авто|стоит|въезда  автостоянку
Мусор валяется по всей территории||Мусор|валяется|территории  
Опель омега в парковочном кармане прямо напротив офиса фмс без номеров стоит без дела более полугода||Опель|стоит|дела  
Обочина завалена битыми кирпичами и прочим мусором||Обочина|завалена|кирпичами  
Лестница изначально сделана из плитки||Лестница|сделана|плитки  
Асфальт в некоторых местах уже протёрся до плитки||Асфальт|протёрся|плитки  
Уголки сделали только на верхнем пролете||Уголки|сделали|пролете  
ПРОСЬБА ПУСТЬ НЕ ТОЛЬКО УНИЧТОЖАЮТ ДЕРЕВЬЯ НО И УБИРАЮТ МУСОР||ПРОСЬБА|УНИЧТОЖАЮТ|ДЕРЕВЬЯ  
Авто стоит по ул Самаркандский бульвар больше года||Авто|стоит|ул  
Прямо возле Въезда на территорию АвтоДорМехБазы брошены Жигули без номеров цвета баклажан||Жигули|брошены|номеров  цвета
Спил деревьев и веток просто перемещены на 1020 метров в сторону за угол забора||Спил|перемещены|метров  сторону
Автомобиль имеет признаки пребывания без движения||Автомобиль|имеет|признаки  пребывания
Мусор и упавшие деревья сейчас сформировали практически свалку отходов||Мусор|сформировали|свалку  отходов
Cвалка мусора вне специально отведённых для этого мест Мусор никем не убирается вот уже несколько недель||Мусор|не убирается|недель  
Авто стоит с торца дома||Авто|стоит|торца  дома
УК использует это место под свой склад||УК|использует|место  
Рейды полиции дают кратковременный эффект||Рейды|дают|эффект  
Возле ТЦ Твин Плаза незаконная торговля с рук Торговцы выбрасывают мусор поддоны коробки остатки еды на парковке  парковка всегда в мусоре и грязи||Торговцы|выбрасывают|мусор  
Автолавка с колбасой опять вернулась на свое место||Автолавка|вернулась|место  
Мусор разлетается по территории||Мусор|разлетается|территории  
Киоск находится на месте||Киоск|находится|месте  
Убирка происходит исключительно по требованию||Убирка|происходит|требованию  
Мусор складирован ненадлежащим образом||Мусор|складирован|образом  
nработы выполнены не в полном объеме||\\nработы|выполнены|объеме  
Вдоль дома снеггололедМусорка не убирается от мусора и льдаподойти сложноПарковки не зачищаются от снега и не обработаны от льда||Парковки|зачищаются|снега  
Рядом с метро Чкаловская и на остановках на Земляном Валу рядом с ТЦ Атриум плохо убирают урны вечером они были переполнены и мусор из них разлетался||Чкаловская|убирают|урны  
Замазывание развалившихся мест на тактильной плитке краской и фотографирование с выгодного  ракурса создающего иллюзию что всё исправили вовсе не означает ремонт плитки||Замазывание|не означает|ремонт  плитки
Мусор который никем не убираетсяпостоянно оставляем заявкитолько после оставления жалобы мусор убираютнет сил ужемусор разбросан напротив 1го подъезда 17го дома рядом с забором склада железобетонных изделийтерритория не ГБУ||Мусор|оставляем|заявки  
Пролесье возле дороги захламлено пластиком и свалом старой автомобильной резины предположительно выброшенной стихийном шиномонтажом||Пролесье|захламлено|пластиком  
Мешок с мусором переставлен в другое место рядом см прилагаемое фото||Мешок|переставлен|место  
Металлокаркас ступеней не закрыт полностью цементомбетоном поэтому зимой там сплошной экстрим||Металлокаркас|не закрыт|цементом\\  бетоном
Поливалка моет только со стороны главного входа||Поливалка|моет|входа  
Авто занимает место и мешает уборке улицы срочно убрать||Авто|занимает|место  
Ступенька отремонтирована не по всей ширине лестницы на левой части отсутствует облицовочный каменьn2||Ступенька|отремонтирована|ширине  лестницы
Автомобиль стоит с января 2015 года||Автомобиль|стоит|января 2015 года
Меры никакие не приняты ИО главы управы просто разместил отписку на официальном порталеnПримите наконец меры и уберите помойкуn||ИО|разместил|отписку  
Часть указателя одна из табличек с адресом отсутствует Знак имеет ненадлежащий вид||Знак|имеет|вид.  
Мусор собран но только в одном месте набережной собран в чёрные пакеты и оставлен под деревьями||Мусор|собран|пакеты  
Урны установлены  вдоль пешеходных зон  но их ни кто регулярно не убирает ||Урны|установлены|зон  
СМИ обявили о завершении реконструкции паспорт обекта вообще датирован прошлым годом||СМИ|об’явили|завершении  реконструкции
ПРОБЛЕМА захламление бытовым мусором территории при владении 16 ул Кибальчича у забора примыкающего к мусоросборнику много мусора который давно не убирается мусор с территории под воздействие ветра потом распространяется на дворовую территорию жилых домов||Кибальчича|распространяется|территорию  домов
Вдоль всего Гарбильди давно не красили тактильную плитку в заметный желтый цвет плюс многие плитки потрескались||Гарбильди|не красили|плитку  
Уборщик собирает листья в зеленый контейнер со стадиона а затем выбрасывает всё это дело за храм||Уборщик|собирает|листья  
На земле находится захламление горой грунта кусков блоков хлама и прочих отходов Место превратилось в свалкуnБольшая просьба полностью убрать данную территорию от захламления||Место|превратилось|свалку  
Мусора прибавляется с каждым днём  и это в добавок к предыдущему уже вросшему в землю за последние годы||Мусора|прибавляется|днём  
Почему УК делает работу наполовину||УК|делает|работу  
Творог и другие продукты не хранятся в холодильнике а прям стоят на улице||Творог|не хранятся|холодильнике  
Мусор разлетается по лесу ||Мусор|разлетается|лесу  
Довожу до вашего сведения что по адресу г Москва Грузинский вал дом 3а стр 2 территория постоянно завалена мусором||Москва|завалена|мусором  
Торговля продолжается в одном и том же месте одним и тем же нарушителем||Торговля|продолжается|месте  
Свалка разрастается с каждым днём||Свалка|разрастается|днём  
Бак для отходов находится на не оборудованном и несогласованном месте||Бак|находится|месте  
Грунт лежит по прежнему на проезжей части на фото видно машины также вывозят грунт на дорогу не помыв колеса мойки не появилось пройти невозможно||Грунт|лежит|прежнему  
Не понятно зачем Вы в своем отчете присылаете необъективные фото||Вы|присылаете|фото  
Мусор перекочёвывает на проезжую часть и создаёт аварийную обстановку||Мусор|перекочёвывает|часть  
Возле магазина Продмакси спилили дерево спилы ствола и груда веток не вывезены что сильно затрудняет прохождение людей мимо магазина особенно учитывая то что в непосредственной близости производятся земляные работы и вся близлежащая территория огорожена забором||Продмакси|спилили|дерево  
Поддон лежал в 5 метрах чуть выше||Поддон|лежал|метрах  
В начале осени 2018 г положили тактильную плитку в районе метро Молодежная||Молодежная|положили|плитку  районе
Перила лестницы находятся в ужасном состоянии один поручень оторван ни на чем не держится||Перила|находятся|состоянии  
Лестница находится в ужасном состоянии Постоянно ходим и спотыкаемся||Лестница|находится|состоянии  
Мусор в мешках брошены на насыпи||Мусор|брошены|насыпи  
Мешки спрятаны под сугробом снега во дворе||Мешки|спрятаны|сугробом  снега
Постоянно Жилищник складирует мусор на территории по указанному адресу||Жилищник|складирует|мусор  
Жилищник ежедневно выносит строительный мусор и складирует его на газоне||Жилищник|выносит|мусор  
Кучи загрязнённого грунта строительным мусором свалили в одну большую кучу||Кучи|свалили|кучу  
Карта не совсем правильно определяет проблемное место||Карта|определяет|место  
Сообщаю Вам что Ваши сотрудники донесли до Вас ложную информацию   стоянка по адресу ул Братиславская вл 15 к3 не является стихийной тк автовладельцы до сих пор вносят плату за машиноместа что подтверждается квитанциями выдаваемыми охранником||Братиславская|не является|стихийной  
Мешки с мусором перетащили в другое место  спрятали в кустах и за бетонной плитой  и доложили что выполнили уборку||Мешки|перетащили|место  
Радиополе по периметру завалено мусором а у вас все отлично||Радиополе|завалено|мусором  
А там где стихийная помойка всегда наваливают больше мусораnСпасибо||Спасибо|наваливают|мусора.\\n  
Ступеньки перестали быть единой целой конструкцией||Ступеньки|перестали|конструкцией  
Помойка рядом с нашим домом превратилась в сортировочную станцию мусора где ночью и днем привозят и сортируют мусор||Помойка|превратилась|станцию  мусора
Газон у дома не восстановлен после проведенных работ видны следы тяжелой строительной техники||Газон|не восстановлен|работ  
Лестница разваливается на звонок в дез отремонтировать  тишинанарод ходит и спотыкается||Лестница|разваливается|звонок  
n13 сентября гуляя вдоль канала я увидел эти же мешки некоторые уже были разодраны в кустах т е ребята вместо того чтобы вывезти уже собранный неравнодушной гражданкой мусор спрятали его в кустах где он теперь активно разлагаетсяn||\\n|увидел|мешки  
Спилы разбросали по берегу и спрятали в кустах срезанные ветви оттащили на 10м от места фотографирования и сбросили кучей в кустах||Спилы|разбросали|берегу  
Пустырь завален мусором||Пустырь|завален|мусором  
Магазин размещает вывески с надписью магазина на которые садятся голуби||Магазин|размещает|вывески  надписью
ГОСТ не предполагает использования такой плитки||ГОСТ|не предполагает|использования  плитки
Если в нашем случае невозможно заменить эти малые конструкции то пусть Жилищник позаботится о регулярном надлежащем их состоянии||Жилищник|позаботится|состоянии  
Парковка превращена в свалку с битыми стеклами пакетами упаковками||Парковка|превращена|свалку  стеклами
Сколы а также плитка уложена с нарушением  края очень сильно торчат над уровнем тротуара пешеход может споткнуться и упасть||Сколы|уложена|нарушением  края
Грязь развезли вдоль всего дома 21||Грязь|развезли|дома  
Каким образом ВЫ проводили проверку||ВЫ|проводили|проверку  
Гололед был сфотографирован по адресу петрощаводская 15 кор 5||Гололед|сфотографирован|адресу  
Уже давно судя по Яндекс панорамам  второй снимок стоит Газель на бульваре Матроса Железняка||Газель|стоит|бульваре  Матроса
